"ÇENGELKÖY HASAN ÖZAYDIN TESİSLERİ-1","25 Aralık 2015 Cuma","19:00 ","İTO MEMURLARI HALI SAHA FUTBOL TURNUVASI","ÖZEL","ÖZEL","MURAT MADAN",NULL,NULL
"ÇENGELKÖY HASAN ÖZAYDIN TESİSLERİ-1","25 Aralık 2015 Cuma","20:00 ","İTO MEMURLARI HALI SAHA FUTBOL TURNUVASI","ÖZEL","ÖZEL","MURAT MADAN",NULL,NULL
"ÇENGELKÖY HASAN ÖZAYDIN TESİSLERİ-2","25 Aralık 2015 Cuma","19:00 ","İTO MEMURLARI HALI SAHA FUTBOL TURNUVASI","ÖZEL","ÖZEL","TAYFUN HAKYEMEZ",NULL,NULL
"ÇENGELKÖY HASAN ÖZAYDIN TESİSLERİ-2","25 Aralık 2015 Cuma","20:00 ","İTO MEMURLARI HALI SAHA FUTBOL TURNUVASI","ÖZEL","ÖZEL","TAYFUN HAKYEMEZ",NULL,NULL
"BEYLİKDÜZÜ STADI","26 Aralık 2015 Cumartes","14:00 ","İSTANBUL BEYLİKDÜZÜ - ESENYURT GÜMÜŞHANE ","U-16 ","2.GRUP ","ENGİN UZUN ÇELEBİ","FERHAT KURNE","MEHMET AYBEK SÜT"
"BÜYÜKÇEKMECE STADI","26 Aralık 2015 Cumartes","14:00 ","BÜYÜKÇEKMECE BLD. - ARNAVUTKÖY BLD. ","U-14 ","3.GRUP ","SELÇUK CERTEL",NULL,NULL
"MİMARSİNAN BABA HAKKI STADI","26 Aralık 2015 Cumartes","12:00 ","B.Ç.M.SİNAN - ARNAVUTKÖY YAYLA ","U-16 ","4.GRUP ","KORAY GÜNDOĞDU","MUHAMMET FURKAN ASLAN","ERGUN AYYILDIZ"
"MİMARSİNAN BABA HAKKI STADI","26 Aralık 2015 Cumartes","14:00 ","GÜZELCE - KAVAKLI KÖYÜ ","1.AL.","3.GRUP ","OĞUZ KAAN IŞIK","BURAK MENTEŞE","MUHAMMET FURKAN ASLAN"
"ÇATALCA STADI","26 Aralık 2015 Cumartes","12:00 ","ÇATALCA ÖZNAKKAŞ - BAŞAKŞEHİR ","U-16 ","2.GRUP ","SEYİT KARAKOÇ","MEHMET CAN COŞKUN","AHMET FAİK ÇEVİK"
"ÇATALCA STADI","26 Aralık 2015 Cumartes","14:00 ","SİLİVRİ MİMARSİNAN - YEŞİLESENYURT ","1.AL.","3.GRUP ","MUSTAFA İSPİROĞLU","BÜŞRA ÇETİN ","DENİZ DEMİREL"
